2025-08-18 19:14:56.865 | INFO     | 94694 | MainThread | backend.api:lifespan:28 | 初始化系统资源
2025-08-18 19:15:05.976 | INFO     | 94694 | MainThread | backend.api:lifespan:39 | 正在清理应用资源...
2025-08-18 19:15:06.884 | INFO     | 94879 | MainThread | backend.api:lifespan:28 | 初始化系统资源
2025-08-18 19:15:06.884 | INFO     | 94879 | MainThread | backend.api:lifespan:28 | 初始化系统资源
2025-08-18 19:15:13.058 | INFO     | 94879 | MainThread | backend.api:lifespan:39 | 正在清理应用资源...
2025-08-18 19:15:13.058 | INFO     | 94879 | MainThread | backend.api:lifespan:39 | 正在清理应用资源...
2025-08-18 19:16:29.478 | INFO     | 97086 | MainThread | backend.api:lifespan:33 | 初始化系统资源
2025-08-18 19:16:29.478 | INFO     | 97086 | MainThread | backend.api:lifespan:33 | 初始化系统资源
2025-08-18 19:16:41.222 | INFO     | 97086 | MainThread | backend.api:lifespan:44 | 正在清理应用资源...
2025-08-18 19:16:41.222 | INFO     | 97086 | MainThread | backend.api:lifespan:44 | 正在清理应用资源...
2025-08-18 19:16:42.109 | INFO     | 97367 | MainThread | backend.api:lifespan:33 | 初始化系统资源
2025-08-18 19:16:42.109 | INFO     | 97367 | MainThread | backend.api:lifespan:33 | 初始化系统资源
2025-08-18 19:16:44.740 | INFO     | 97367 | MainThread | backend.api:lifespan:44 | 正在清理应用资源...
2025-08-18 19:16:44.740 | INFO     | 97367 | MainThread | backend.api:lifespan:44 | 正在清理应用资源...
2025-08-18 19:18:11.560 | INFO     | 99379 | MainThread | backend.api:lifespan:33 | 初始化系统资源
2025-08-18 19:18:11.560 | INFO     | 99379 | MainThread | backend.api:lifespan:33 | 初始化系统资源
2025-08-18 19:21:54.459 | INFO     | 99379 | MainThread | backend.routers.diagnosis:create_diagnosis:22 | 开始处理诊断请求: 
2025-08-18 19:21:54.459 | INFO     | 99379 | MainThread | backend.routers.diagnosis:create_diagnosis:22 | 开始处理诊断请求: 
2025-08-18 19:21:54.459 | WARNING  | 99379 | MainThread | backend.routers.diagnosis:create_diagnosis:28 | 诊断描述为空
2025-08-18 19:21:54.459 | WARNING  | 99379 | MainThread | backend.routers.diagnosis:create_diagnosis:28 | 诊断描述为空
2025-08-18 19:22:26.942 | INFO     | 99379 | MainThread | backend.routers.diagnosis:create_diagnosis:22 | 开始处理诊断请求: 7岁的公狗，已绝育，出现食欲下降，晚上睡觉会出现呼吸急促，喘气吐舌头，不安，平时白天基本不睡觉
2025-08-18 19:22:26.942 | INFO     | 99379 | MainThread | backend.routers.diagnosis:create_diagnosis:22 | 开始处理诊断请求: 7岁的公狗，已绝育，出现食欲下降，晚上睡觉会出现呼吸急促，喘气吐舌头，不安，平时白天基本不睡觉
2025-08-18 19:22:26.946 | INFO     | 99379 | MainThread | core.ai_diagnosis.diagnosis:__init__:146 | Model Name: ZhipuAI/GLM-4.5
2025-08-18 19:22:26.946 | INFO     | 99379 | MainThread | core.ai_diagnosis.diagnosis:__init__:146 | Model Name: ZhipuAI/GLM-4.5
2025-08-18 19:22:26.946 | INFO     | 99379 | MainThread | core.ai_diagnosis.diagnosis:__init__:147 | Base URL: https://api-inference.modelscope.cn/v1
2025-08-18 19:22:26.946 | INFO     | 99379 | MainThread | core.ai_diagnosis.diagnosis:__init__:147 | Base URL: https://api-inference.modelscope.cn/v1
2025-08-18 19:22:26.946 | INFO     | 99379 | MainThread | core.ai_diagnosis.diagnosis:__init__:148 | API Key: ms-d3532402-86de-4e6d-b60d-158e0851895d
2025-08-18 19:22:26.946 | INFO     | 99379 | MainThread | core.ai_diagnosis.diagnosis:__init__:148 | API Key: ms-d3532402-86de-4e6d-b60d-158e0851895d
2025-08-18 19:22:48.192 | INFO     | 5568 | MainThread | backend.api:lifespan:33 | 初始化系统资源
2025-08-18 19:22:48.192 | INFO     | 5568 | MainThread | backend.api:lifespan:33 | 初始化系统资源
2025-08-18 19:22:56.018 | INFO     | 5568 | MainThread | backend.routers.diagnosis:create_diagnosis:22 | 开始处理诊断请求: 7岁的公狗，已绝育，出现食欲下降，晚上睡觉会出现呼吸急促，喘气吐舌头，不安，平时白天基本不睡觉
2025-08-18 19:22:56.018 | INFO     | 5568 | MainThread | backend.routers.diagnosis:create_diagnosis:22 | 开始处理诊断请求: 7岁的公狗，已绝育，出现食欲下降，晚上睡觉会出现呼吸急促，喘气吐舌头，不安，平时白天基本不睡觉
2025-08-18 19:22:56.020 | INFO     | 5568 | MainThread | core.ai_diagnosis.diagnosis:__init__:146 | Model Name: ZhipuAI/GLM-4.5
2025-08-18 19:22:56.020 | INFO     | 5568 | MainThread | core.ai_diagnosis.diagnosis:__init__:146 | Model Name: ZhipuAI/GLM-4.5
2025-08-18 19:22:56.020 | INFO     | 5568 | MainThread | core.ai_diagnosis.diagnosis:__init__:147 | Base URL: https://api-inference.modelscope.cn/v1
